t,t1,Type
11059,3750,mixedfail
12000,3750,mixedcensor
7344,3750,mixedfail
7142,3750,mixedfail
6314,3750,mixedfail
844,0,highfail
5504,3750,mixedfail
10003,3750,mixedfail
6865,3750,mixedfail
5448,3750,mixedfail
11962,3750,mixedfail
7102,3750,mixedfail
6585,3750,mixedfail
10751,3750,mixedfail
5276,3750,mixedfail
2323,0,highfail
1536,0,highfail
7008,3750,mixedfail
4696,3750,mixedfail
3006,0,highfail
3382,0,highfail
1458,0,highfail
8566,4500,mixedfail
7819,4500,mixedfail
4658,4500,mixedfail
4709,4500,mixedfail
1782,0,highfail
1947,0,highfail
12000,4500,mixedcensor
3137,0,highfail
3119,0,highfail
9071,4500,mixedfail
4066,0,highfail
4091,0,highfail
4867,4500,mixedfail
4456,0,highfail
3639,0,highfail
2376,0,highfail
3164,0,highfail
5305,0,highfail
4586,0,highfail
5310,0,highfail
7801,5500,mixedfail
2642,0,highfail
5205,0,highfail
11152,5500,mixedfail
6653,5500,mixedfail
5125,0,highfail
3459,0,highfail
4948,0,highfail
2114,0,highfail
5741,0,highfail
791,0,highfail
6140,0,highfail
2821,0,highfail
7121,0,highfail
3437,0,highfail
7226,0,highfail
6288,0,highfail
4526,0,highfail
4782,0,highfail
4798,0,lowfail
6000,0,lowcensor
6000,0,lowcensor
6000,0,lowcensor
6000,0,lowcensor
6000,0,lowcensor
6000,0,lowcensor
6000,0,lowcensor
6000,0,lowcensor
6000,0,lowcensor
6000,0,lowcensor
6000,0,lowcensor
